,dataset,graph,representation,index,train accuracy,validation accuracy
169,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallcompact1enoroot,all_features_inst2vec_O0,round3,0.28999999165534973,0.25600001215934753
170,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallcompact1enoroot,all_features_bag_of_words_O0,round3,0.34466665983200073,0.3059999942779541
171,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallcompact1enoroot,all_features_ir2vec_O0,round3,0.28999999165534973,0.3199999928474426
172,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallnoroot,all_features_inst2vec_O0,round3,0.22866666316986084,0.2240000069141388
173,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallnoroot,all_features_ir2vec_O0,round3,0.30533334612846375,0.29600000381469727
174,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallnoroot,all_features_bag_of_words,round3,0.281333327293396,0.2680000066757202
175,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,inst2vec,all_features_O0,round3,0.21933333575725555,0.20000000298023224
176,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,lbp,all_features_O0,round3,0.2213333398103714,0.2199999988079071
177,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,milepost,all_features_O0,round3,0.3199999928474426,0.3240000009536743
178,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallnoroot,all_features_inst2vec_O0,round3,0.3100000023841858,0.2759999930858612
179,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallnoroot,all_features_bag_of_words_O0,round3,0.2619999945163727,0.23399999737739563
180,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallnoroot,all_features_ir2vec_O0,round3,0.28999999165534973,0.2919999957084656
181,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfg_plus,all_features_inst2vec_O0,round3,0.22599999606609344,0.23600000143051147
182,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfg_plus,all_features_bag_of_words_O0,round3,0.25200000405311584,0.24400000274181366
183,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfg_plus,all_features_ir2vec_O0,round3,0.23733332753181458,0.2639999985694885
184,CodeNetBestSeqsSBLP2021_TVT,programlnoroot,all_features_inst2vec_O0,round2,0.8613333106040955,0.8640000224113464
185,CodeNetBestSeqsSBLP2021_TVT,programlnoroot,all_features_bag_of_words_O0,round2,0.746666669845581,0.8420000076293945
186,CodeNetBestSeqsSBLP2021_TVT,programlnoroot,all_features_ir2vec_O0,round2,0.6713333129882812,0.7599999904632568
187,CodeNetBestSeqsSBLP2021_TVT,cfgcallcompact1enoroot,all_features_inst2vec_O0,round2,0.9246666431427002,0.9300000071525574
188,CodeNetBestSeqsSBLP2021_TVT,cfgcallcompact1enoroot,all_features_bag_of_words_O0,round2,0.9693333506584167,0.9679999947547913
189,CodeNetBestSeqsSBLP2021_TVT,cfgcallcompact1enoroot,all_features_ir2vec_O0,round2,0.8453333377838135,0.8820000290870667
190,CodeNetBestSeqsSBLP2021_TVT,llvm_histogram,all_features_O0,round2,0.9693333506584167,0.9679999947547913
191,CodeNetBestSeqsSBLP2021_TVT,rbp,all_features_O0,round2,0.7066666483879089,0.8080000281333923
192,CodeNetBestSeqsSBLP2021_TVT,ir2vec.program,all_features_O0,round2,0.9459999799728394,0.9599999785423279
193,CodeNetBestSeqsSBLP2021_TVT,prog2image,all_features_O0,round2,0.9986666440963745,0.9179999828338623
194,CodeNetBestSeqsSBLP2021_TVT,inst2vec.lower,all_features_O0,round2,0.8953333497047424,0.949999988079071
195,CodeNetBestSeqsSBLP2021_TVT,cdfgcallcompact1enoroot,all_features_inst2vec_O0,round2,0.8993333578109741,0.906000018119812
196,CodeNetBestSeqsSBLP2021_TVT,cdfgcallcompact1enoroot,all_features_bag_of_words_O0,round2,0.9440000057220459,0.9419999718666077
197,CodeNetBestSeqsSBLP2021_TVT,cdfgcallcompact1enoroot,all_features_ir2vec_O0,round2,0.8119999766349792,0.8700000047683716
198,CodeNetBestSeqsSBLP2021_TVT,cfgcallnoroot,all_features_inst2vec_O0,round2,0.9166666865348816,0.9200000166893005
199,CodeNetBestSeqsSBLP2021_TVT,cfgcallnoroot,all_features_bag_of_words_O0,round2,0.7886666655540466,0.8360000252723694
